Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Sales Growth %,Net Profit Growth %,Market Cap to Sales,Market Cap to Net Profit,Profitability Category
Akzo Nobel,AKZOINDIA,Paints / Varnishes,3961.6,3939.6,426.7,413.3,585.6,585.6,667.9,93.7,15.96,10.77,42.21,12981.71,0.5584323281551427,3.24219695136704,3.27688560177706,30.423505976095615,Moderate Profitability
Alacrity Sec.,__NA__,Finance & Investments,341.2,,11.45,,17.21,17.21,17.41,5.43,4.89,3.36,53.3,224.45,,,0.6578253223915592,19.602620087336245,Low Profitability
Alan Scott Inds.,__NA__,Textiles - Products,11.5,8.84,-3.5,-3.03,-2.5,-2.5,-0.09,-8.65,-0.87,-33.83,-32.11,29.02,30.090497737556564,15.51155115511552,2.5234782608695654,-8.291428571428572,Loss-making
Alankit,ALANKIT,Computers - Software - Medium / Small,235.7,292.73,21.98,21.11,28.08,28.08,35.75,0.8,10.14,9.33,10.5,569.68,-19.48211662624262,4.121269540502136,2.416970725498515,25.918107370336667,Moderate Profitability
Albert David,ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,362.46,354.83,75.42,66.24,97.6,97.6,104.43,132.15,12.93,20.81,27.76,765.1,2.1503255079897405,13.858695652173925,2.110853611432986,10.144523998939274,High Profitability
Alembic Pharma,APLLTD,Pharmaceuticals - Indian - Bulk Drugs & Formln,6228.63,6118.1,615.82,590.21,684.69,684.69,957.36,31.33,14.97,9.84,13.14,17984.55,1.8066066262401683,4.339133528744008,2.887400600131971,29.204231756032602,Moderate Profitability
Alfa Ica (I),__NA__,Miscellaneous,68.49,63.93,1.68,1.48,3.77,3.77,4.76,4.16,5.75,2.45,10.64,25.66,7.1328015016424136,13.513513513513512,0.37465323404876627,15.273809523809524,Low Profitability
Alfa Transformer,__NA__,Electric Equipment,50.97,46.86,7.63,7.71,3.08,3.08,4.15,8.34,7.04,14.97,11.5,83.76,8.770806658130601,-1.0376134889753577,1.6433195997645675,10.977719528178245,Moderate Profitability
Alfavision Overs,__NA__,Miscellaneous,3.13,2.44,0.28,-0.91,0.97,0.97,1.01,0.09,30.67,8.95,0.56,36.41,28.278688524590162,-130.76923076923075,11.63258785942492,130.03571428571425,Moderate Profitability
Alfred Herbert,__NA__,Finance & Investments,1.79,1.82,0.67,1.44,0.56,0.56,0.73,8.69,17.32,37.43,0.5,112.81,-1.6483516483516498,-53.47222222222222,63.022346368715084,168.3731343283582,High Profitability
Alicon Cast.,ALICON,Castings & Forgings,1559.37,1459.32,61.28,50.44,121.59,121.59,199.11,38.03,12.52,3.93,14.52,2026.4,6.85593290025491,21.490880253766857,1.299499156710723,33.067885117493475,Low Profitability
Alkali Metals,ALKALI,Chemicals,82.86,85.34,1.13,1.55,4.52,4.52,9.12,1.11,9.86,1.73,6.22,154.48,-2.906022966955711,-27.096774193548395,1.864349505189476,136.7079646017699,Low Profitability
Alkem Lab,ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,12667.58,12634.36,1811.46,1574.66,2257.03,2257.03,2556.33,150.19,17.73,15.06,19.55,59486.57,0.26293377741333435,15.038166969377512,4.6959695537742805,32.839019354553784,High Profitability
