Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Sales Growth %,Net Profit Growth %,Market Cap to Sales,Market Cap to Net Profit,Profitability Category
Rama Phosphates,RAMAPHO,Fertilizers,603.17,659.32,-31.07,-25.18,-28.39,-28.39,-19.42,-17.56,-3.39,-5.15,-6.12,336.1,-8.516350178972287,23.39158061953932,0.557222673541456,-10.817508850981655,Loss-making
Rama Steel Tubes,RAMASTEEL,Steel - Medium / Small,1046.51,1177.48,30.0,34.63,58.78,58.78,64.42,0.2,5.67,2.87,12.73,1710.96,-11.122906546183376,-13.369910482240838,1.6349198765420303,57.032000000000004,Low Profitability
Rama Vision,__NA__,Trading,89.57,86.11,3.39,3.0,5.97,5.97,6.78,3.25,7.28,3.78,15.31,96.73,4.018116362791771,13.000000000000004,1.0799374790666518,28.533923303834808,Low Profitability
Ramasigns Indus.,__NA__,Trading,10.33,13.96,-5.2,-1.73,-3.79,-3.79,-3.53,-1.82,-35.43,-50.34,-14.98,6.22,-26.002865329512897,200.57803468208095,0.6021297192642787,-1.1961538461538461,Loss-making
Ramchandra Leas.,__NA__,Finance & Investments,0.46,0.48,0.02,0.01,0.02,0.02,0.02,0.0,4.35,4.35,0.35,5.47,-4.166666666666659,100.0,11.891304347826086,273.5,Low Profitability
Ramco Inds.,RAMCOIND,Cement Products,1501.32,1486.41,105.72,120.23,133.52,133.52,170.5,12.18,10.4,7.04,3.14,2199.31,1.003087977072265,-12.068535307327625,1.4649175392321423,20.803159288687098,Moderate Profitability
Ramco Systems,RAMCOSYS,Computers - Software - Medium / Small,525.83,520.85,-241.67,-264.09,-237.51,-237.51,-150.29,-68.3,-29.37,-45.96,-46.54,1145.76,0.9561294038590801,-8.489530084440906,2.1789551756271037,-4.74101046882112,Loss-making
Ramdevbaba Sol.,RBS,Solvent Extraction,686.44,,13.03,,27.4,27.4,31.66,8.04,3.66,1.9,18.63,220.81,,,0.32167414486335294,16.94627782041443,Low Profitability
Ramgopal Polytex,__NA__,Trading,11.0,11.53,-1.67,-1.55,-1.52,-1.52,-1.52,-1.15,-19.0,-15.18,-12.11,7.34,-4.596704249783169,7.74193548387096,0.6672727272727272,-4.395209580838324,Loss-making
Ramkrishna Forg.,RKFORGE,Castings & Forgings,3954.88,3823.26,341.44,316.04,610.69,610.69,868.26,18.89,21.22,8.63,18.66,16248.69,3.442611802493157,8.036957347171237,4.108516566874343,47.58871251171509,Moderate Profitability
Ramky Infra,RAMKY,Construction,2160.52,2155.76,321.07,1341.38,621.89,621.89,670.27,44.48,23.61,14.86,21.09,4035.62,0.22080380005194286,-76.06420253768508,1.867892914668691,12.569283956769551,Moderate Profitability
Rana Sugars,RANASUG,Sugar,1592.63,1628.85,27.97,51.63,65.34,65.34,100.68,1.82,5.2,1.76,6.86,384.7,-2.2236547257267274,-45.82607011427465,0.24155014033391306,13.75402216660708,Low Profitability
Rander Corpn.,__NA__,Finance & Investments,3.96,4.41,1.84,1.01,2.45,2.45,2.51,1.49,63.38,46.46,11.07,16.22,-10.204081632653066,82.17821782178218,4.095959595959596,8.815217391304348,High Profitability
Rane (Madras),RML,Auto Ancillaries,2238.95,2342.19,3.02,21.93,59.67,59.67,150.7,1.86,6.53,4.86,6.3,1415.91,-4.40784052532033,-86.22891016871866,0.6323991156568928,468.8443708609272,Low Profitability
Rane Brake Lin.,RBL,Auto Ancillaries,660.83,639.48,40.28,36.91,55.68,55.68,77.52,52.11,11.41,6.23,20.51,768.24,3.3386501532495187,9.130316987266337,1.1625380203683247,19.072492552135053,Moderate Profitability
Rane Engine Val.,RANEENGINE,Auto Ancillaries,566.75,552.64,11.46,11.58,31.88,31.88,50.9,15.84,8.35,2.72,13.18,306.09,2.5531991893456887,-1.0362694300518067,0.5400794000882223,26.70942408376963,Low Profitability
Rane Holdings,RANEHOLDIN,Finance & Investments,3529.82,3597.28,149.61,103.14,256.11,256.11,393.11,86.69,9.11,6.1,13.0,1921.72,-1.8753057865943163,45.05526468877255,0.544424361582177,12.844863311275983,Moderate Profitability
Ranjeet Mechatr.,__NA__,Engineering,16.89,,0.13,,1.5,1.5,1.64,0.13,9.71,0.77,5.84,38.81,,,2.2978093546477205,298.53846153846155,Low Profitability
Rapicut Carbides,__NA__,Engineering,60.16,58.94,0.49,-0.38,1.04,1.04,1.57,0.91,2.41,0.81,4.33,59.61,2.069901594842211,-228.9473684210526,0.9908577127659575,121.6530612244898,Low Profitability
Rasandik Engg.,__NA__,Auto Ancillaries,86.25,94.03,7.13,-9.25,15.45,15.45,21.6,11.93,-8.96,7.54,9.95,66.92,-8.273955120706159,-177.08108108108107,0.7758840579710146,9.385694249649369,Moderate Profitability
Rashi Peripheral,RPTECH,Trading,11094.7,,143.86,,288.42,288.42,307.3,21.43,2.64,1.23,14.37,2161.53,,,0.19482545720028482,15.025232865285695,Low Profitability
Rasi Electrodes,__NA__,Electrodes - Welding Equipment,83.83,83.97,3.2,2.89,4.34,4.34,5.12,1.03,4.86,3.82,13.05,87.17,-0.1667262117422896,10.726643598615919,1.0398425384707146,27.240624999999998,Low Profitability
Rategain Travel,RATEGAIN,Computers - Software - Medium / Small,957.03,884.15,145.39,129.16,190.24,190.24,231.28,12.34,19.82,15.19,17.34,8867.53,8.242945201606062,12.565809848250225,9.265676102107562,60.99133365430911,High Profitability
Rathi Bars,__NA__,Steel - Medium / Small,614.04,674.63,3.57,3.73,10.18,10.18,14.67,2.19,2.33,0.58,6.3,76.77,-8.981219335042917,-4.289544235924937,0.12502442837600156,21.504201680672267,Low Profitability
Rathi Steel,__NA__,Steel - Medium / Small,492.83,541.24,23.53,83.49,15.51,15.51,24.25,2.77,4.22,0.76,14.03,412.47,-8.944276106717911,-71.8169840699485,0.8369417446178196,17.52953676158096,Low Profitability
Ratnamani Metals,RATNAMANI,Steel - Medium / Small,5059.1,5062.48,625.1,624.56,872.8,872.8,970.34,88.85,17.73,12.36,27.79,25392.6,-0.0667656958644617,0.08646086845140216,5.01919313711925,40.62166053431451,Moderate Profitability
Ratnaveer Precis,RATNAVEER,Steel - Medium / Small,595.38,604.17,31.05,34.6,51.19,51.19,57.01,6.4,8.4,5.22,12.85,787.41,-1.4548885247529608,-10.260115606936418,1.32253350801169,25.35942028985507,Moderate Profitability
RattanIndia Ent,RTNINDIA,Miscellaneous,5609.64,5421.11,424.45,367.92,616.04,616.04,633.33,3.08,0.91,8.4,36.04,11501.88,3.477701061221792,15.364753207218953,2.050377564335679,27.098315467075036,Moderate Profitability
RattanIndia Pow.,RTNPOWER,Power Generation And Supply,3364.0,3350.62,8896.75,-2252.19,604.67,604.67,986.61,16.57,19.2,-51.67,8.18,9526.57,0.3993290793942646,-495.0266185357363,2.8319173602853747,1.070792143198359,Loss-making
Raunaq Intl.,__NA__,Engineering - Turnkey Services,3.74,3.78,-1.07,-3.08,-1.16,-1.16,-1.02,-3.2,-51.6,-28.61,-16.19,12.51,-1.0582010582010475,-65.25974025974025,3.3449197860962565,-11.691588785046727,Loss-making
Ravi Leela Gran,__NA__,Miscellaneous,31.47,31.59,-0.6,-0.73,3.64,3.64,5.63,-0.57,10.07,-1.91,6.02,41.24,-0.37986704653371633,-17.808219178082194,1.3104544010168415,-68.73333333333333,Loss-making
Ravikumar Distll,RKDL,Breweries & Distilleries,24.58,23.71,-1.94,-5.59,0.26,0.26,0.66,-0.81,-14.52,0.94,0.32,72.02,3.669337832138327,-65.29516994633273,2.9300244100895037,-37.123711340206185,Low Profitability
Ravindra Energy,__NA__,Miscellaneous,130.97,214.8,-50.9,21.22,35.13,35.13,48.52,-3.3,25.23,6.57,12.21,973.99,-39.027001862197395,-339.8680490103676,7.436741238451554,-19.135363457760317,Moderate Profitability
Raw Edge Indust.,__NA__,Mining / Minerals / Metals,44.97,42.94,-0.59,-1.54,1.47,1.47,3.17,-0.59,6.98,-1.31,3.24,37.51,4.727526781555662,-61.68831168831169,0.8341116299755392,-63.57627118644068,Loss-making
Raymond,RAYMOND,Textiles - Products,9019.51,8561.2,1643.07,1609.77,2281.05,2281.05,2564.73,246.01,14.51,18.6,30.93,20180.52,5.353338317058349,2.068618498294785,2.237429749509674,12.282203436250434,High Profitability
RBL Bank,RBLBANK,Banks - Private Sector,12394.3,11697.53,1167.92,1086.33,7603.69,7603.69,7603.69,19.3,36.8,9.42,6.8,15990.69,5.956556640589924,7.510609115093954,1.290164833834908,13.691597027193643,Moderate Profitability
RBM Infracon,RBMINFRA,Construction,129.73,,11.09,,17.86,17.86,19.12,13.14,14.54,8.55,28.63,493.8,,,3.8063670700686045,44.52660054102795,Moderate Profitability
RBZ Jewellers Lt,RBZJEWEL,Diamond Cutting / Jewellery,327.43,,21.57,,37.5,37.5,38.87,5.39,11.75,6.59,16.12,546.8,,,1.669975261888037,25.350023180343065,Moderate Profitability
RDB Rasayans,__NA__,Packaging,103.2,104.08,24.23,20.91,32.4,32.4,33.66,13.68,15.97,23.48,18.53,251.31,-0.845503458877782,15.877570540411288,2.4351744186046513,10.371853074700784,High Profitability
RDB Realty,__NA__,Construction,110.29,116.7,20.62,16.4,40.64,40.64,46.66,11.38,34.79,18.7,5.29,259.2,-5.4927163667523535,25.731707317073187,2.3501677395956113,12.570320077594568,High Profitability
Real Touch Fin,__NA__,Finance & Investments,18.74,18.62,2.63,2.62,13.29,13.29,13.55,2.07,71.5,14.03,8.54,71.14,0.6444683136412322,0.3816793893129689,3.796157950907151,27.04942965779468,Moderate Profitability
Redington,REDINGTON,Trading,89345.71,88760.89,1238.61,1243.11,1959.96,1959.96,2141.06,15.59,2.1,1.39,18.29,17265.5,0.6588712663877154,-0.3619953181938847,0.19324374947605205,13.939415958211221,Low Profitability
Redtape,REDTAPE,Trading,1842.92,1714.85,176.24,169.84,268.75,268.75,327.99,12.75,17.09,9.56,31.88,10695.46,7.4682916873196,3.7682524729156888,5.803540034293404,60.68690422151611,Moderate Profitability
Reetech Intl,__NA__,Trading,29.27,,1.04,,1.63,1.63,1.76,2.46,2.49,3.62,10.0,21.14,,,0.7222412025965153,20.326923076923077,Low Profitability
Refex Industries,REFEX,Trading,1382.87,1670.66,92.98,110.27,150.82,150.82,164.36,8.11,10.56,6.73,26.39,1865.95,-17.22612620162093,-15.67969529337081,1.3493314628273085,20.068294256829425,Moderate Profitability
Refex Renewables,__NA__,Engineering - Turnkey Services,76.09,92.81,-34.42,-34.83,22.03,22.03,39.67,-55.03,43.23,-25.71,4.53,202.06,-18.015300075422903,-1.1771461383864388,2.655539492706006,-5.870424171993027,Loss-making
Refractory,REFRACTORY,Refractories / Intermediates,40.55,,4.02,,6.89,6.89,8.83,2.54,15.68,9.91,18.54,464.34,,,11.451048088779284,115.50746268656717,Moderate Profitability
Regency Fincorp,__NA__,Finance & Investments,15.73,15.09,1.97,1.31,11.98,11.98,12.83,0.52,81.56,14.62,9.69,59.93,4.2412193505632905,50.38167938931297,3.809917355371901,30.421319796954315,Moderate Profitability
Regency Trust,__NA__,Miscellaneous,1.23,0.89,0.04,-0.46,0.06,0.06,0.07,0.04,5.69,3.25,7.89,3.84,38.20224719101123,-108.69565217391303,3.1219512195121952,96.0,Low Profitability
Regent Enterp.,__NA__,Trading,670.81,620.39,0.65,-0.52,0.35,0.35,0.78,0.19,0.1,0.03,0.88,14.57,8.127145827624553,-225.0,0.021720010136998556,22.415384615384614,Low Profitability
Regis Industries,__NA__,Finance & Investments,15.42,8.71,-0.93,-1.11,-0.93,-0.93,-0.93,-0.54,-6.03,-6.03,-4.04,254.67,77.03788748564865,-16.21621621621622,16.51556420233463,-273.83870967741933,Loss-making
Rel. Chemotex,RELCHEMQ,Textiles - Spinning - Synthetic / Blended,367.19,344.6,3.21,5.52,25.19,25.19,35.32,4.26,8.46,0.87,6.75,188.01,6.555426581543811,-41.847826086956516,0.5120237479234184,58.570093457943926,Low Profitability
Rel. Indl. Infra,RIIL,Miscellaneous,58.08,61.21,13.32,21.17,18.95,18.95,21.56,8.82,-10.61,22.93,4.2,2055.54,-5.113543538637481,-37.080774681152576,35.39152892561984,154.31981981981983,High Profitability
Relaxo Footwear,RELAXO,Leather / Leather Products,2914.06,2931.79,200.47,202.38,287.96,287.96,435.45,8.05,13.95,6.88,13.63,20702.98,-0.6047499991472792,-0.943769147148926,7.104513977062929,103.27221030578141,Moderate Profitability
Reliable Data,RELIABLE,Computers - Software - Medium / Small,79.38,76.18,5.29,5.46,9.82,9.82,13.23,4.38,16.47,6.75,10.86,49.54,4.200577579417154,-3.1135531135531123,0.6240866717057193,9.364839319470699,Moderate Profitability
Reliable Ventur.,__NA__,Hotels,2.39,2.16,-1.53,-1.6,-1.79,-1.79,-0.94,-1.39,-46.03,-64.02,-5.58,22.53,10.648148148148147,-4.3750000000000036,9.426778242677825,-14.725490196078432,Loss-making
Reliance Communi,RCOM,Telecommunications - Service Provider,383.0,402.0,-7212.0,-6967.0,-66.0,-66.0,61.0,-26.08,-2.87,-34.25,,536.51,-4.72636815920398,3.516578154155304,1.4008093994778068,-0.07439129229062673,Loss-making
Reliance Industr,RELIANCE,Refineries,901064.0,877365.0,79020.0,79104.0,127845.0,127845.0,178677.0,102.9,18.0,8.77,10.02,2119728.9,2.7011563032489327,-0.10618932038834951,2.3524731872541795,26.825220197418375,Moderate Profitability
Reliance Infra.,RELINFRA,Engineering - Turnkey Services,22066.86,21559.35,-1147.98,-3533.91,1715.8,1715.8,3218.55,-40.61,9.29,-5.16,6.99,7659.18,2.3540134558787815,-67.51530174792228,0.34708970827748037,-6.671875816651858,Loss-making
Reliance Power,RPOWER,Power Generation And Supply,7892.6,7650.5,-2068.38,-1413.91,463.18,463.18,1524.94,-5.15,14.66,-27.85,1.43,11589.0,3.1644990523495244,46.28795326435204,1.4683374299977192,-5.602935630783511,Loss-making
Relic Tech.,__NA__,Finance & Investments,1.53,1.39,-0.9,-0.34,-0.87,-0.87,-0.69,-2.5,-52.29,-58.82,-15.26,5.38,10.071942446043176,164.7058823529412,3.5163398692810457,-5.977777777777778,Loss-making
Relicab Cable,__NA__,Cables - Power,38.02,36.84,1.54,1.73,4.5,4.5,4.7,1.53,11.55,4.05,20.26,105.99,3.2030401737242116,-10.98265895953757,2.787743293003682,68.82467532467533,Low Profitability
Religare Enterp.,RELIGARE,Finance & Investments,6234.79,5775.65,347.41,3683.56,310.88,310.88,382.58,7.06,5.1,2.71,8.71,8025.91,7.949581432392897,-90.5686346903539,1.2872783205208194,23.102127169626662,Low Profitability
Remedium Life,__NA__,Trading,4040.39,2708.79,32.73,75.78,55.23,55.23,55.29,3.25,0.85,0.81,99.5,659.19,49.15848035469711,-56.809184481393515,0.16315009194656954,20.14023831347388,Low Profitability
Remsons Ind,REMSONSIND,Auto Ancillaries,312.3,307.74,13.32,10.73,23.42,23.42,34.43,19.09,9.98,4.36,15.4,720.68,1.4817703255995327,24.137931034482758,2.3076528978546267,54.1051051051051,Low Profitability
Remus Pharma.,REMUS,Pharmaceuticals - Indian - Bulk Drugs & Formln,212.5,,25.98,,32.3,32.3,33.2,36.51,13.08,12.23,,1249.1,,,5.878117647058823,48.07929176289453,Moderate Profitability
Renaiss. Global,RGL,Diamond Cutting / Jewellery,2107.11,2070.05,73.6,72.31,137.29,137.29,167.51,7.53,7.48,3.49,7.98,991.1,1.7902949204125476,1.7839856174802822,0.4703598767980789,13.466032608695654,Low Profitability
Repco Home Fin,REPCOHOME,Finance - Housing,1524.52,1472.25,394.7,368.73,1370.29,1370.29,1388.51,63.09,90.01,25.89,10.53,3503.4,3.5503481066394964,7.04309386271797,2.2980347912785666,8.876108436787433,High Profitability
Repro India,REPRO,Printing & Stationery,479.46,473.36,12.1,14.09,24.2,24.2,53.87,8.46,10.79,2.52,6.03,895.93,1.2886597938144257,-14.12349183818311,1.868623034246861,74.04380165289255,Low Profitability
Resgen,__NA__,Refineries,45.5,,6.57,,10.29,10.29,15.22,3.13,33.3,14.44,18.85,157.34,,,3.458021978021978,23.948249619482496,Moderate Profitability
Resonance Speci.,__NA__,Chemicals,55.3,57.32,2.97,3.53,4.35,4.35,5.81,2.57,8.82,5.37,7.27,119.44,-3.5240753663642765,-15.864022662889507,2.159855334538879,40.215488215488215,Moderate Profitability
Response Info.,__NA__,Computers - Software - Medium / Small,33.99,31.96,2.2,2.85,2.69,2.69,2.8,2.94,8.12,6.71,31.37,60.17,6.351689612015023,-22.807017543859644,1.7702265372168284,27.349999999999998,Moderate Profitability
Responsive Ind,RESPONIND,Plastics Products,1086.97,1035.94,161.27,138.13,195.02,195.02,261.25,6.05,22.34,14.84,14.73,8699.44,4.925960962990131,16.752334757112877,8.003385558019081,53.94332485893222,Moderate Profitability
Restaurant Brand,RBA,Hotels,2437.06,2353.86,-236.74,-224.61,-95.49,-95.49,260.64,-4.39,9.94,-9.71,-4.69,5035.69,3.534619730995039,5.400471929121586,2.066297095680861,-21.270972374757115,Loss-making
Restile Ceramics,__NA__,Ceramics - Tiles / Sanitaryware,0.94,1.27,-0.91,-1.0,-0.91,-0.91,-0.53,-0.09,-76.6,-96.81,-10.25,50.91,-25.98425196850394,-8.999999999999996,54.159574468085104,-55.94505494505494,Loss-making
Retina Paints,__NA__,Paints / Varnishes,11.66,,0.74,,1.72,1.72,2.02,0.53,-31.3,6.35,10.26,114.3,,,9.802744425385935,154.45945945945945,Moderate Profitability
Retro Green,__NA__,Tea,2.0,2.08,0.47,0.52,0.47,0.47,0.47,0.52,22.0,23.5,5.27,8.04,-3.8461538461538494,-9.615384615384624,4.02,17.106382978723403,High Profitability
Rex Pipes&Cables,REXPIPES,Plastics Products,128.59,,4.73,,9.4,9.4,11.21,5.01,8.42,3.68,18.25,64.26,,,0.49972781709308656,13.585623678646934,Low Profitability
Rex Sealing,__NA__,Packaging,30.61,,2.45,,3.9,3.9,4.4,11.04,14.18,8.0,28.55,39.29,,,1.2835674616138517,16.03673469387755,Moderate Profitability
Rexnord Electr.,__NA__,Engineering,96.29,94.12,7.51,5.34,11.76,11.76,15.49,6.73,14.7,7.8,14.98,155.68,2.3055673608159815,40.63670411985019,1.6167826357877246,20.729693741677764,Moderate Profitability
Rhetan TMT Ltd,__NA__,Steel - Medium / Small,64.77,,3.87,,6.78,6.78,7.5,0.05,10.88,5.97,6.58,1179.38,,,18.20873861355566,304.74935400516796,Moderate Profitability
RHI Magnesita,RHIM,Refractories / Intermediates,3781.1,3712.59,-100.11,-521.13,374.42,374.42,556.91,-4.86,14.44,3.6,8.41,13298.7,1.8453424698121734,-80.78982211732198,3.5171510935971018,-132.8408750374588,Low Profitability
Riba Textiles,__NA__,Textiles - Products,246.89,240.43,7.92,9.43,15.25,15.25,20.04,8.2,7.99,3.21,10.19,83.92,2.686852722206039,-16.01272534464475,0.3399084612580502,10.595959595959597,Low Profitability
Richa Info,RICHA,Computers - Hardware,39.13,,0.71,,2.06,2.06,2.78,2.92,6.57,1.81,6.97,15.8,,,0.4037822642473805,22.253521126760564,Low Profitability
Richfield Fin,__NA__,Finance & Investments,1.83,1.34,0.65,0.53,0.84,0.84,0.91,1.73,42.08,35.52,9.85,22.84,36.56716417910447,22.641509433962263,12.48087431693989,35.138461538461534,High Profitability
Rico Auto Inds,RICOAUTO,Auto Ancillaries,2159.73,2214.3,38.94,48.56,118.22,118.22,236.72,2.83,10.28,1.88,8.27,1852.87,-2.464435713317986,-19.810543657331145,0.857917424863293,47.58269131997945,Low Profitability
Riddhi Corporate,__NA__,Computers - Software - Medium / Small,173.87,172.93,5.14,6.79,15.16,15.16,34.43,4.33,17.0,2.96,8.91,99.65,0.5435725438038499,-24.300441826215028,0.5731293495140047,19.387159533073934,Low Profitability
Riddhi Siddhi Gl,__NA__,Trading,267.98,287.53,43.87,-69.59,73.55,73.55,84.3,65.5,1.26,21.34,4.55,418.69,-6.799290508816457,-163.04066676246586,1.562392715874319,9.543879644403921,High Profitability
Riddhi Steel,__NA__,Steel - Medium / Small,327.57,,4.8,,18.0,18.0,21.32,5.79,5.71,1.47,10.44,46.43,,,0.14174069664499192,9.672916666666667,Low Profitability
RIR Power Electr,__NA__,Electronics - Components,66.76,61.45,7.03,5.45,10.75,10.75,11.83,10.1,14.81,10.53,13.27,1329.36,8.64117168429618,28.990825688073397,19.912522468544037,189.0981507823613,Moderate Profitability
Rishabh Instrum.,RISHABH,Electric Equipment,689.75,686.34,39.89,52.68,55.13,55.13,82.73,10.38,10.31,5.78,9.71,1729.99,0.4968383017163458,-24.278663629460894,2.508140630663284,43.369014790674356,Moderate Profitability
Rishi Laser,__NA__,Engineering,140.11,139.27,8.73,7.06,10.26,10.26,12.75,9.5,8.45,6.23,17.12,122.19,0.6031449702017687,23.654390934844205,0.8721004924702019,13.99656357388316,Moderate Profitability
Rishi Techtex,__NA__,Packaging,111.74,110.46,1.35,1.58,4.89,4.89,7.61,1.83,6.6,1.21,8.64,40.5,1.158790512402681,-14.556962025316453,0.3624485412564883,29.999999999999996,Low Profitability
Rishiroop,__NA__,Trading,76.67,77.24,24.16,20.17,28.14,28.14,28.78,26.37,9.2,31.51,,159.91,-0.7379596064215345,19.78185423896876,2.0856919264379807,6.618791390728477,High Profitability
Rita Finance and,__NA__,Finance & Investments,1.21,1.05,0.4,0.66,0.59,0.59,0.59,0.4,48.76,33.06,3.79,17.0,15.238095238095232,-39.39393939393939,14.049586776859504,42.5,High Profitability
Ritco Logistics,RITCO,Miscellaneous,933.3,878.16,34.09,31.18,67.97,67.97,80.37,13.93,8.2,3.65,16.99,798.09,6.279037988521452,9.332905708787695,0.8551269688203151,23.41126430038134,Low Profitability
Rite Zone,RITEZONE,Chemicals,26.72,,1.13,,1.52,1.52,1.78,2.67,6.06,4.23,10.86,17.89,,,0.6695359281437127,15.831858407079649,Low Profitability
Rites,RITES,Engineering - Turnkey Services,2452.85,2496.41,495.2,497.42,675.07,675.07,735.73,18.95,26.26,20.19,24.76,16604.84,-1.7449056845630302,-0.44630292308311426,6.769610860835355,33.531583198707594,High Profitability
Ritesh Intl.,__NA__,Chemicals,83.66,78.81,-0.08,-1.77,0.72,0.72,1.36,-0.09,1.52,-0.06,2.94,22.88,6.154041365308963,-95.48022598870057,0.27348792732488647,-286.0,Loss-making
Rithwik Facility,__NA__,Miscellaneous,36.39,,2.64,,3.92,3.92,4.19,8.63,10.58,7.25,20.64,37.21,,,1.0225336630942568,14.094696969696969,Moderate Profitability
RKD Agri,__NA__,Trading,2.13,2.05,0.06,0.04,0.09,0.09,0.22,0.01,6.57,2.82,2.05,36.14,3.9024390243902474,49.999999999999986,16.967136150234744,602.3333333333334,Low Profitability
RKEC Projects,RKEC,Construction,341.09,299.83,19.87,14.48,42.72,42.72,50.84,8.28,13.86,5.83,14.67,302.31,13.761131307741051,37.22375690607735,0.8863056671259786,15.21439355812783,Moderate Profitability
RLF,__NA__,Textiles - Products,1.86,1.81,0.04,-2.44,0.16,0.16,0.23,0.04,-14.52,3.23,0.51,12.19,2.7624309392265216,-101.63934426229508,6.553763440860214,304.75,Low Profitability
RMC Switchgears,__NA__,Electric Equipment,172.63,,14.89,,32.11,32.11,34.94,14.44,19.76,9.45,34.83,668.29,,,3.871227480739153,44.881799865681664,Moderate Profitability
Robust Hotels,RHL,Hotels,122.46,114.73,4.74,-12.12,21.96,21.96,40.13,,25.82,3.87,2.63,332.86,6.737557744269145,-139.10891089108912,2.718112036583374,70.22362869198312,Low Profitability
Rockingdeals Cir,ROCKINGDCE,Trading,49.56,,5.21,,7.55,7.55,7.82,9.21,15.19,10.51,69.52,363.76,,,7.339790153349475,69.81957773512475,Moderate Profitability
Rodium Realty,__NA__,Construction,47.55,43.09,1.32,-1.16,5.65,5.65,5.75,4.06,9.19,2.78,4.96,24.52,10.350429333952178,-213.7931034482759,0.5156677181913775,18.575757575757574,Low Profitability
Rolcon Engg. Co.,__NA__,Engineering,51.5,52.06,2.91,3.99,5.41,5.41,6.64,38.49,6.52,5.65,26.48,40.82,-1.0756819054936655,-27.06766917293233,0.792621359223301,14.027491408934708,Moderate Profitability
Rolex Rings,ROLEXRINGS,Castings & Forgings,1221.76,1204.9,156.04,178.83,244.4,244.4,277.03,57.3,21.44,14.66,28.08,6802.89,1.3992862478213874,-12.743946765084168,5.56810666579361,43.597090489618054,Moderate Profitability
Roni Households,__NA__,Plastics Products,7.68,,0.58,,1.06,1.06,1.58,1.01,9.24,7.55,6.97,25.57,,,3.3294270833333335,44.08620689655173,Moderate Profitability
Roopa Industries,__NA__,Pharmaceuticals - Indian - Bulk Drugs,70.43,66.21,1.52,1.29,4.81,4.81,5.68,1.93,6.46,2.16,12.97,44.25,6.373659568041101,17.829457364341085,0.6282834019593923,29.111842105263158,Low Profitability
Rose Merc.,__NA__,Trading,5.29,,0.38,,0.37,0.37,0.43,0.87,-2.27,7.18,,63.15,,,11.937618147448015,166.18421052631578,Moderate Profitability
Roselabs Finance,__NA__,Construction,1.14,0.0,-0.13,2.34,-0.13,-0.13,-0.13,-0.13,-14.91,-11.4,-162.5,33.9,,-105.55555555555556,29.736842105263158,-260.7692307692308,Loss-making
Rossari Biotech,ROSSARI,Chemicals,1830.56,1764.32,130.69,125.54,196.99,196.99,257.38,23.66,13.64,7.14,18.28,4690.79,3.7544209667180564,4.102278158355896,2.56248907438161,35.892493687351745,Moderate Profitability
Rossell India,ROSSELLIND,Diversified - Medium / Small,366.58,366.41,13.18,13.15,30.2,30.2,43.99,3.5,10.45,3.65,6.43,2161.32,0.046396113643175425,0.22813688212927272,5.895902667903323,163.98482549317148,Low Profitability
Roto Pumps,ROTO,Pumps,274.5,264.54,39.42,37.67,57.12,57.12,70.01,12.47,23.88,14.36,24.43,1951.66,3.765026083012013,4.645606583488187,7.109872495446266,49.50938609842719,Moderate Profitability
Route Mobile,ROUTE,Computers - Software - Medium / Small,4023.29,4014.92,388.84,397.73,465.49,465.49,551.54,59.74,12.7,9.32,20.61,11457.34,0.20847239795562278,-2.235184673019396,2.847753952610923,29.46543565476803,Moderate Profitability
ROX Hi-Tech,ROXHITECH,Trading,176.06,,21.24,,31.54,31.54,32.23,9.3,18.06,12.06,39.26,303.73,,,1.7251505168692491,14.299905838041433,Moderate Profitability
Royal,__NA__,Trading,17.8,,1.59,,2.25,2.25,2.26,3.24,12.53,8.93,,66.88,,,3.7573033707865164,42.062893081761004,Moderate Profitability
Royal Cush. Vin.,__NA__,Plastics Products,54.71,48.74,294.21,230.02,8.25,8.25,9.38,80.41,-4.88,10.0,,146.75,12.248666393106275,27.906269020085194,2.6823249862913543,0.498793378879032,Moderate Profitability
Royal India Corp,__NA__,Trading,28.84,36.82,-8.24,-6.7,-4.16,-4.16,-4.14,-3.57,-8.5,-28.57,-3.55,280.02,-21.67300380228137,22.98507462686567,9.709431345353675,-33.98300970873786,Loss-making
Royal Orch.Hotel,ROHLTD,Hotels,293.61,289.95,50.82,47.25,75.3,75.3,95.16,17.68,25.91,17.31,19.75,992.66,1.262286601138136,7.555555555555555,3.3808793978406726,19.532861078315623,High Profitability
Royale Manor,__NA__,Hotels,23.42,22.6,4.22,3.9,6.42,6.42,7.44,2.13,24.51,18.02,10.02,83.7,3.6283185840707977,8.2051282051282,3.573868488471392,19.83412322274882,High Profitability
RPG LifeScience.,RPGLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,582.05,573.55,87.66,84.77,118.22,118.22,135.29,53.0,22.19,14.93,34.65,2726.97,1.481998082120129,3.4092249616609656,4.685112962803883,31.10848733744011,Moderate Profitability
RPP Infra Proj.,RPPINFRA,Construction,1353.41,1247.05,57.2,59.59,96.29,96.29,106.97,15.08,4.23,4.23,21.21,517.88,8.528928270718907,-4.010740057056554,0.38264827361996734,9.053846153846154,Low Profitability
