Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Profitability Category
Jet Freight,JETFREIGHT,Transport - Airlines,401.25,398.89,0.17,-1.48,5.6,5.6,7.89,0.04,1.5,-0.12,4.63,63.33,Loss-making
Jet Infraventure,__NA__,Construction,0.35,,0.06,,0.09,0.09,0.1,0.14,-45.71,17.14,1.43,8.36,High Profitability
Jet Knitwears,JETKNIT,Textiles - Products,32.75,,0.55,,1.82,1.82,2.35,1.25,6.9,1.68,5.07,53.0,Low Profitability
Jetking Infotrai,__NA__,Computers - Education,18.92,19.35,-0.5,0.64,-0.31,-0.31,1.93,-0.85,-15.33,-2.64,-0.75,34.2,Loss-making
Jetmall Spices,__NA__,Trading,1.31,,0.04,,0.06,0.06,0.11,0.07,-5.34,3.05,0.62,7.91,Low Profitability
JFL Life,JFLLIFE,Pharmaceuticals - Indian - Formulations,46.55,,3.31,,4.64,4.64,5.08,3.01,9.8,7.11,11.76,45.86,Moderate Profitability
Jhandewala Foods,__NA__,Food - Processing - Indian,26.47,,24.22,,6.0,6.0,6.41,23.61,-11.48,21.65,100.84,133.33,High Profitability
Jhaveri Credits,__NA__,Finance & Investments,26.2,13.06,1.61,2.35,2.62,2.62,2.75,1.79,9.66,6.15,5.54,319.72,Moderate Profitability
JHS Sven.Lab.,JHS,Personal Care - Indian,70.8,70.85,-4.06,-14.02,-2.97,-2.97,3.38,-0.52,-1.31,-5.73,-1.66,166.28,Loss-making
JHS Svend.Retail,RETAIL,Trading,1.87,,-1.54,,-1.41,-1.41,0.07,,-54.55,-82.35,,28.43,Loss-making
Jigar Cables,__NA__,Cables - Power,42.64,,1.04,,1.8,1.8,2.2,1.48,4.64,2.44,8.45,35.23,Low Profitability
Jindal Capital,__NA__,Finance & Investments,2.91,3.41,0.89,0.69,1.79,1.79,1.8,1.23,39.86,30.58,15.33,25.44,High Profitability
Jindal Drilling,JINDRILL,Oil Drilling / Allied Services,617.01,522.36,51.15,76.31,101.51,101.51,165.14,17.65,22.07,8.29,6.4,1824.45,Moderate Profitability
Jindal Hotels,__NA__,Hotels,43.17,41.32,2.4,0.73,6.99,6.99,11.83,3.43,26.43,5.56,9.12,89.57,Moderate Profitability
Jindal Leasefin,__NA__,Finance & Investments,0.01,0.01,-0.16,-0.08,-0.19,-0.19,-0.19,-0.53,-1900.0,-1600.0,-2.28,14.74,Loss-making
Jindal Photo,JINDALPHOT,Finance & Investments,20.3,9.11,265.55,221.31,270.05,270.05,270.1,257.82,97.83,1308.13,12.15,908.8,High Profitability
Jindal Poly Film,JINDALPOLY,Textiles - Products,3925.57,3658.56,71.5,-294.59,261.94,261.94,476.1,16.32,-0.05,1.82,2.78,3026.07,Low Profitability
Jindal Poly Inve,JPOLYINVST,Finance & Investments,36.05,927.5,295.57,423.75,299.32,299.32,299.32,281.18,98.92,819.89,11.82,939.89,High Profitability
Jindal Saw,JINDALSAW,Steel - Large,20957.69,20720.29,1592.87,1408.96,2925.68,2925.68,3493.67,52.44,15.87,7.62,21.38,17440.99,Moderate Profitability
Jindal Stain.,JSL,Steel - Large,38562.47,38873.53,2693.48,2909.12,4047.71,4047.71,4926.54,32.95,12.2,6.79,22.27,67196.37,Moderate Profitability
Jindal Steel,JINDALSTEL,Steel - Sponge Iron,50026.76,50231.75,5943.32,5475.55,7535.5,7535.5,10357.25,58.21,20.39,11.88,13.3,107042.98,Moderate Profitability
