Name,NSE Code,Industry,Sales,Sales preceding 12months,Net profit,Net profit preceding 12months,EBIT,EBIT last year,EBIDT last year,EPS,OPM,NPM last year,Return on capital employed,Market Capitalization,Profitability Category
Integ. Proteins,__NA__,Solvent Extraction,0.24,0.17,0.09,0.1,0.1,0.1,0.13,0.24,-50.0,37.5,3.73,5.82,High Profitability
Integra Capital,__NA__,Finance & Investments,1.25,1.19,0.96,0.7,0.97,0.97,0.97,2.04,77.6,76.8,22.51,8.55,High Profitability
Integra Engg.,__NA__,Engineering,146.82,149.18,14.52,16.6,22.27,22.27,25.05,4.23,16.48,9.89,24.26,914.09,Moderate Profitability
Integra Essentia,ESSENTIA,Trading,277.27,251.23,15.28,11.17,19.52,19.52,23.24,0.14,1.76,5.51,17.09,435.62,Moderate Profitability
Integra Switch,__NA__,Electric Equipment,0.0,0.0,-0.22,-0.59,-0.15,-0.15,-0.15,-0.69,,,-7.3,54.85,Unknown
Integra Tele.,__NA__,Computers - Software - Medium / Small,0.25,0.49,0.02,0.24,0.15,0.36,0.36,0.02,-4.0,48.98,3.21,7.24,High Profitability
Integrated Perso,IPSL,Miscellaneous,245.59,,5.37,,9.84,9.84,10.83,7.45,4.16,2.19,16.63,105.22,Low Profitability
Intellect Design,INTELLECT,Computers - Software - Medium / Small,2506.44,2508.28,322.71,340.48,466.53,466.53,603.75,23.47,21.63,13.21,20.32,15548.25,Moderate Profitability
Intense Tech.,INTENTECH,Computers - Software - Medium / Small,114.49,116.69,15.64,17.18,20.39,20.39,22.71,6.66,18.07,13.66,16.99,346.5,Moderate Profitability
Inter Globe Fin,__NA__,Finance & Investments,224.78,146.84,8.44,1.39,13.44,13.44,13.54,12.37,3.71,3.75,13.9,58.3,Low Profitability
Inter State Oil,__NA__,Miscellaneous,84.74,74.37,0.86,0.88,3.39,3.39,7.46,1.72,8.2,1.01,8.94,19.01,Low Profitability
Interactive Fin,__NA__,Finance & Investments,3.07,2.44,0.61,0.64,1.58,1.58,1.59,2.02,38.44,19.87,14.98,7.37,High Profitability
Interglobe Aviat,INDIGO,Transport - Airlines,68904.34,65239.68,8167.49,7189.62,12212.59,12212.59,18618.2,211.6,23.65,11.85,26.62,163919.79,Moderate Profitability
Interiors,INM,Miscellaneous,32.25,,8.01,,12.72,12.72,13.14,11.45,40.4,25.24,52.22,174.61,High Profitability
Interworld Digi.,__NA__,Computers - Software - Medium / Small,0.06,0.07,-0.2,-0.19,-0.2,-0.2,-0.2,0.0,-333.33,-333.33,-0.24,26.31,Loss-making
Intl. Combustion,__NA__,Engineering,296.78,280.22,19.95,19.73,35.18,35.18,40.17,83.46,12.91,6.72,26.42,376.79,Moderate Profitability
Intl. Conveyors,INTLCONV,Miscellaneous,133.93,156.8,62.39,64.19,85.98,85.98,87.92,9.84,15.9,46.58,25.38,534.9,High Profitability
Intl. Data Mgt.,__NA__,Computers - Software - Medium / Small,0.0,0.0,-0.17,-1.69,-0.17,-0.17,-0.17,-0.77,,,-212.5,5.61,Unknown
Intl. Travel Hse,__NA__,Travel Agencies,217.33,209.05,22.5,31.99,30.51,30.51,37.88,28.14,15.62,10.35,22.82,483.45,Moderate Profitability
Intrasoft Tech.,ISFT,Miscellaneous,485.47,481.97,9.8,9.89,25.87,25.87,26.85,6.01,4.01,2.02,7.64,207.98,Low Profitability
Inv.& Prec.Cast.,__NA__,Castings & Forgings,170.96,175.67,7.79,9.99,18.59,18.59,26.41,15.58,14.79,4.56,12.27,283.52,Low Profitability
Inventure Grow.,INVENTURE,Finance & Investments,59.44,81.0,12.01,9.18,23.76,23.76,24.47,0.14,36.0,24.13,9.76,252.84,High Profitability
Invigorated Bus.,__NA__,Finance & Investments,0.22,0.0,-0.2,-0.27,-0.1,-0.1,-0.1,-0.05,-63.64,-90.91,,26.32,Loss-making
IOL Chemicals,IOLCP,Pharmaceuticals - Indian - Bulk Drugs & Formln,2132.79,2216.08,135.42,172.5,198.74,198.74,261.59,23.07,10.86,6.35,12.3,2388.44,Moderate Profitability
ION Exchange,IONEXCHANG,Engineering,2347.85,2213.52,195.36,204.1,280.96,280.96,317.37,13.37,11.58,8.32,27.18,9562.66,Moderate Profitability
IP Rings,__NA__,Auto Ancillaries,316.72,304.22,-3.23,-5.46,8.19,8.19,25.05,-2.55,7.11,-1.02,4.05,247.43,Loss-making
Ipca Labs.,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,7705.04,7183.66,522.92,599.73,1088.69,1088.69,1445.93,21.57,17.15,7.66,13.15,28992.07,Moderate Profitability
IRB Infra. Trust,IRBIT,Construction,3968.86,,-665.02,,661.91,661.91,1026.81,-5.97,25.67,-16.76,2.49,24525.75,Loss-making
IRB Infra.Devl.,IRB,Construction,7409.0,6967.74,605.82,547.09,2814.76,2814.76,3809.71,1.0,40.72,8.18,9.0,39277.66,Moderate Profitability
IRB InvIT Fund,IRBINVIT,Construction,1062.08,,373.09,,656.53,656.53,886.05,6.43,81.18,35.13,9.37,3809.25,High Profitability
Ircon Intl.,IRCON,Construction,12330.91,12368.86,929.51,939.33,1409.53,1409.53,1509.96,9.88,7.49,7.54,18.54,25436.26,Moderate Profitability
IRIS Business,IRIS,Computers - Software - Medium / Small,102.3,92.5,8.78,5.64,11.36,11.36,15.88,4.49,14.88,8.58,26.74,404.65,Moderate Profitability
Iris Clothings,IRISDOREME,Textiles - Products,121.92,117.39,12.21,10.96,20.33,20.33,26.42,1.5,21.59,10.01,19.79,568.56,Moderate Profitability
IRM Energy,IRMENERGY,Miscellaneous,890.52,919.42,85.67,80.75,146.2,146.2,172.67,20.86,16.71,9.62,15.65,1898.38,Moderate Profitability
Ironwood Educa,__NA__,Miscellaneous,4.07,3.12,-6.03,-0.95,-0.74,-0.74,-0.31,-7.63,-13.51,-37.84,-3.87,19.51,Loss-making
ISF,__NA__,Finance & Investments,2.02,1.95,-0.74,-0.02,-0.65,-0.65,-0.65,-0.08,-32.18,-36.63,-3.78,18.92,Loss-making
ISGEC Heavy,ISGEC,Engineering - Turnkey Services,6219.34,6394.12,254.87,275.97,417.84,417.84,524.08,33.14,8.01,4.1,11.84,9136.4,Low Profitability
Ishaan Infrastru,__NA__,Construction,0.0,0.0,-0.09,-0.1,-0.09,-0.09,-0.09,-0.14,,,-1.28,5.3,Unknown
Ishan Dyes & Ch.,__NA__,Dyes And Pigments,76.67,64.37,0.12,-6.57,3.33,3.33,6.15,0.06,4.21,0.2,2.32,121.17,Low Profitability
Ishan Internat.,ISHAN,Engineering,31.35,,0.99,,0.99,1.3,1.48,0.05,0.41,1.4,6.0,61.62,Low Profitability
Ishita Drugs,__NA__,Pharmaceuticals - Indian - Bulk Drugs,15.19,13.33,0.75,0.65,1.08,1.08,1.19,2.51,5.99,4.94,10.77,19.97,Low Profitability
ISL Consulting,__NA__,Finance & Investments,24.21,13.22,3.1,3.05,3.86,3.86,3.95,1.29,15.49,12.8,29.26,69.6,Moderate Profitability
ISMT,ISMTLTD,Steel - Medium / Small,2644.37,2698.66,173.51,162.49,300.75,300.75,388.14,5.78,14.12,7.11,17.9,3959.1,Moderate Profitability
IST,__NA__,Auto Ancillaries,109.66,117.77,126.02,120.24,172.28,172.28,177.52,108.04,74.99,114.92,14.1,1120.88,High Profitability
iStreet Network,__NA__,Trading,0.0,0.0,-0.13,-0.12,-0.13,-0.13,-0.13,-0.06,,,,8.71,Unknown
Italian,ITALIANE,Food - Processing - Indian,73.62,,3.09,,6.66,6.66,7.99,2.09,10.7,4.6,23.71,49.36,Low Profitability
ITC,ITC,Cigarettes,70881.0,70593.19,20751.36,20803.24,27165.8,27165.8,28982.19,16.39,37.04,29.28,37.46,531724.33,High Profitability
ITCONS E-Soluti.,__NA__,Miscellaneous,28.5,,1.91,,2.91,2.91,3.39,3.8,11.09,6.7,23.81,71.86,Moderate Profitability
ITD Cem,ITDCEM,Construction,7717.87,7091.56,274.18,222.29,601.04,601.04,808.92,15.93,9.65,3.55,27.47,9310.02,Low Profitability
ITI,ITI,Telecommunications - Equipment,1263.63,1437.61,-569.06,-402.97,-327.67,-327.67,-274.55,-5.92,-25.25,-45.03,-8.44,29701.02,Loss-making
ITL Industries,__NA__,Engineering,157.79,150.48,9.35,8.5,14.05,14.05,15.47,28.59,7.11,5.93,16.93,145.83,Moderate Profitability
IVP,IVP,Chemicals,546.1,579.33,12.28,16.08,25.33,25.33,30.87,11.89,5.1,2.25,11.08,199.93,Low Profitability
Iykot Hitech,__NA__,Engineering,1.33,1.46,-1.99,-1.58,-1.89,-1.89,-1.73,-0.98,-136.84,-149.62,-61.17,23.59,Loss-making
IZMO,IZMO,Computers - Software - Medium / Small,186.75,180.12,26.05,25.3,27.8,27.8,43.24,18.46,21.37,13.95,9.35,484.3,Moderate Profitability
J & K Bank,J&KBANK,Banks - Private Sector,11213.2,10815.15,1771.22,1610.4,8396.0,8396.0,8396.0,16.08,67.41,15.8,6.23,12757.18,High Profitability
J A Finance,__NA__,Finance & Investments,3.06,2.81,1.01,0.55,2.21,2.21,2.21,,72.22,33.01,8.18,29.39,High Profitability
J B Chemicals &,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,3484.18,3384.77,552.63,514.11,795.84,795.84,934.16,35.61,25.74,15.86,25.09,28332.58,High Profitability
J D Orgochem,__NA__,Trading,211.78,,12.29,,17.14,17.14,19.86,9.28,8.36,5.57,,23.37,Moderate Profitability
J J Finance Corp,__NA__,Finance & Investments,0.76,0.51,0.37,0.12,0.48,0.48,0.48,1.31,63.16,48.68,5.19,6.14,High Profitability
J K Cements,JKCEMENT,Cement - North India,11556.0,11228.11,789.93,680.33,1643.14,1643.14,2215.76,102.35,17.92,6.93,15.8,34239.88,Moderate Profitability
J Kumar Infra,JKIL,Construction,4879.2,4588.44,328.59,302.78,564.46,564.46,732.47,43.43,14.43,6.73,18.44,6675.56,Moderate Profitability
J Taparia Proj,__NA__,Miscellaneous,3.31,1.13,-6.33,-6.11,-6.32,-6.32,-6.31,-3.91,-217.82,-191.24,-31.73,45.88,Loss-making
J.G.Chemicals,JGCHEM,Chemicals,667.69,,32.11,,48.53,48.53,53.06,7.88,6.79,5.01,13.8,925.37,Moderate Profitability
Jackson Invest,__NA__,Finance & Investments,0.6,0.58,-0.12,0.16,-0.12,-0.12,-0.12,0.0,-20.0,-20.0,-0.37,27.91,Loss-making
Jagan Lamps,__NA__,Auto Ancillaries,51.17,51.2,2.94,2.79,4.15,4.15,5.5,4.03,9.42,5.75,12.04,72.48,Moderate Profitability
Jagatjit Inds.,__NA__,Breweries & Distilleries,557.45,558.16,7.59,12.06,33.86,33.86,43.61,1.63,3.13,1.4,10.67,1036.23,Low Profitability
